Model,TumourType,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-010,GC,untreated,"UNKNOWN,Untreated",single,244.3,24,19.3,12,16.9,33,PD
X-015,GC,untreated,"UNKNOWN,Untreated",single,148.0,24,24.4,12,20.4,71,PD
X-017,GC,untreated,"UNKNOWN,Untreated",single,25.4,12,12.7,12,90.5,130,SD
X-020,GC,untreated,"UNKNOWN,Untreated",single,22.1,46,31.1,12,58.3,130,PD
X-023,GC,untreated,"UNKNOWN,Untreated",single,39.4,21,17.5,14,23.4,35,PD
X-024,GC,untreated,"UNKNOWN,Untreated",single,226.6,20,52.6,13,9.8,31,PD
X-025,GC,untreated,"UNKNOWN,Untreated",single,46.1,25,19.0,18,25.0,165,PD
X-031,GC,untreated,"UNKNOWN,Untreated",single,-1.0,12,-0.5,12,69.3,130,SD-->PD
X-037,GC,untreated,"UNKNOWN,Untreated",single,147.3,36,41.0,12,18.6,90,PD
X-038,GC,untreated,"UNKNOWN,Untreated",single,145.8,21,41.0,12,12.9,60,PD
X-039,GC,untreated,"UNKNOWN,Untreated",single,341.9,21,118.9,14,5.0,24,PD
X-050,GC,untreated,"UNKNOWN,Untreated",single,237.0,21,46.0,11,11.9,46,PD
X-056,GC,untreated,"UNKNOWN,Untreated",single,155.8,24,42.2,12,19.8,66,PD
X-065,GC,untreated,"UNKNOWN,Untreated",single,402.7,36,43.3,12,13.0,68,PD
X-074,GC,untreated,"UNKNOWN,Untreated",single,101.8,21,24.9,14,14.9,42,PD
X-077,GC,untreated,"UNKNOWN,Untreated",single,100.1,27,54.4,13,16.5,82,PD
X-078,GC,untreated,"UNKNOWN,Untreated",single,314.4,21,61.7,14,11.1,28,PD
X-091,GC,untreated,"UNKNOWN,Untreated",single,21.3,12,10.7,12,49.0,130,SD-->PD
X-0933,CRC,untreated,"UNKNOWN,Untreated",single,183.2,21,59.0,14,9.9,36,PD
X-096,GC,untreated,"UNKNOWN,Untreated",single,251.3,21,77.1,14,8.5,28,PD
X-098,GC,untreated,"UNKNOWN,Untreated",single,326.9,25,104.1,12,7.1,33,PD
X-0991,PDAC,untreated,"UNKNOWN,Untreated",single,174.4,20,19.1,11,16.6,44,PD
X-1004,BRCA,untreated,"UNKNOWN,Untreated",single,241.1,20,43.7,13,13.6,29,PD
X-1008,BRCA,untreated,"UNKNOWN,Untreated",single,102.1,21,20.0,11,20.7,42,PD
